,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
61,3.69288962,84.94526346,255.9006384,313.6934817,945.0128112,0.142857143,3.69288962,0.076923077,0.047173309,3.69288962,1,6
62,3.115360905,86.85600643,242.5264352,270.5878068,755.5573748,0.076923077,3.115360905,0.0,0.031701521,3.115360905,1,6
63,3.32282421,169.8905269,489.744016,564.5163559,1627.333273,0.142857143,3.32282421,0.0,0.014889265,3.32282421,1,6
64,3.575744775,52.89743283,167.195659,189.1477191,597.8490041,0.055555556,3.575744775,0.0,1.78e-15,3.575744775,1,17
65,1.59711289,126.1480957,310.6584897,201.4727497,496.1566783,0.533333333,1.59711289,0.5,0.06773238,1.59711289,1,7
66,1.42726605,126.1480957,310.1597229,180.0468943,442.6804425,0.533333333,1.42726605,0.5,0.063413594,1.42726605,1,7
67,2.85150256,153.4186582,429.9854927,437.4736965,1226.104733,0.4,2.85150256,0.333333333,0.075334627,2.85150256,1,6
68,3.33680228,237.4843383,800.4934286,792.4382814,2671.088298,0.266666667,3.33680228,0.083333333,0.089322767,3.33680228,1,11
69,4.998079465,84.34919772,323.6521643,421.583993,1617.639236,0.083333333,4.998079465,0.0,0.016205214,4.998079465,1,11
70,1.34377555,130.4431119,334.5681072,175.2862644,449.5844423,0.533333333,1.34377555,0.5,0.048815783,1.34377555,1,7
71,2.376887932,365.6746701,1413.795026,869.1677104,3360.432336,0.294117647,3.56447279,0.0,0.017474847,0.059012427,3,3
72,2.68362086,159.2902099,570.1386626,427.4745301,1530.036008,0.3125,2.68362086,0.214285714,0.071174916,2.68362086,1,11
73,4.542434385,130.2236925,491.4805498,591.5325787,2232.518149,0.125,4.542434385,0.0,0.0289832,4.542434385,1,7
74,3.799085997,154.4768629,540.8192233,586.8708868,2054.618738,0.15,3.799085997,0.0,0.050507001,3.799085997,1,17
75,3.602772697,173.6488557,600.3885392,625.6173562,2163.063437,0.166666667,3.602772697,0.0,0.073360572,3.602772697,1,10
76,2.56532005,238.5500108,936.6093351,611.9571256,2402.702706,0.25,2.82500976,0.0625,0.038195354,2.29317312,4,3
77,3.717960588,198.7958686,589.6326292,739.1152043,2192.230876,0.285714286,3.717960588,0.166666667,0.0710642,3.717960588,1,5
78,4.101128233,219.9814973,637.8347768,902.1723291,2615.842211,0.166666667,4.101128233,0.0,0.031486998,4.101128233,1,10
79,5.052201458,113.2157221,331.5328686,571.9886361,1674.970842,0.090909091,5.052201458,0.0,0.0,5.052201458,1,10
80,2.973424497,141.2003655,506.1949646,419.8486258,1505.132508,0.142857143,2.973424497,0.0,0.052682006,2.973424497,1,6
81,3.05080172,141.2003655,490.4363095,430.7743179,1496.223937,0.142857143,3.05080172,0.0,0.061567691,3.05080172,1,6
82,4.028872155,145.8078606,565.2682705,587.4412296,2277.393595,0.142857143,4.028872155,0.0,0.033411719,4.028872155,1,6
83,3.228745932,283.6806651,1128.884443,915.9327936,3644.881052,0.25,3.36632404,0.0,0.042698196,2.6784335,2,15
84,3.2908956,43.90150722,168.6503135,144.4752769,555.0105747,0.05,3.2908956,0.0,0.057312804,3.2908956,1,19
85,2.72164399,63.11853046,239.0182829,171.7861691,650.5226732,0.071428571,2.72164399,0.0,0.084277261,2.72164399,1,13
86,3.74238457,64.95353782,275.7040909,243.0811177,1031.790736,0.071428571,3.74238457,0.0,0.05287638,3.74238457,1,13
87,2.23226038,70.41409973,264.4685697,157.182605,590.36271,0.083333333,2.23226038,0.0,0.059444995,2.23226038,1,11
88,4.086224093,142.4738967,653.4084823,582.1802693,2669.973483,0.142857143,4.086224093,0.0,0.058210972,4.086224093,1,24
89,4.391737197,137.9483142,390.9272541,605.8327429,1716.849763,0.25,4.391737197,0.181818182,0.000215121,4.391737197,1,9
90,2.955347995,122.5275551,374.8299408,362.1115643,1107.752914,0.208333333,3.266890015,0.136363636,0.024822042,2.643805975,2,19
